"user_id","location","timestamp","time","diff"
"dave","USA","2025-09-24 12:27:01","1758697786100","1"
"alice","USA","2025-09-24 12:27:55","1758697786100","1"
"dave","Mumbai","2025-09-24 12:34:34","1758697786100","1"
"dave","Russia","2025-09-24 12:26:57","1758697786100","1"
"alice","Delhi","2025-09-24 12:38:40","1758697786100","1"
"alice","Russia","2025-09-24 12:38:34","1758697786100","1"
"dave","USA","2025-09-24 12:34:28","1758697786100","1"
"dave","Mumbai","2025-09-24 12:38:10","1758697786100","1"
"charlie","USA","2025-09-24 12:27:51","1758697786100","1"
"bob","Russia","2025-09-24 12:38:14","1758697786100","1"
"alice","Delhi","2025-09-24 12:38:58","1758697786100","1"
"dave","Delhi","2025-09-24 12:38:56","1758697786100","1"
"bob","Mumbai","2025-09-24 12:27:17","1758697786100","1"
"dave","Mumbai","2025-09-24 12:39:14","1758697786100","1"
"bob","Mumbai","2025-09-24 12:38:54","1758697786100","1"
"bob","USA","2025-09-24 12:38:32","1758697786100","1"
"dave","Russia","2025-09-24 12:27:43","1758697786100","1"
"alice","USA","2025-09-24 12:38:00","1758697786100","1"
"alice","USA","2025-09-24 12:38:08","1758697786100","1"
"bob","Mumbai","2025-09-24 12:34:04","1758697786100","1"
"alice","Mumbai","2025-09-24 12:38:26","1758697786100","1"
"charlie","Russia","2025-09-24 12:27:53","1758697786100","1"
"dave","Mumbai","2025-09-24 12:38:28","1758697786100","1"
"bob","Delhi","2025-09-24 12:39:00","1758697786100","1"
"bob","USA","2025-09-24 12:39:16","1758697786100","1"
"bob","Delhi","2025-09-24 12:30:20","1758697786100","1"
"dave","USA","2025-09-24 12:34:02","1758697786100","1"
"dave","Mumbai","2025-09-24 12:30:08","1758697786100","1"
"bob","Delhi","2025-09-24 12:39:04","1758697786100","1"
"bob","USA","2025-09-24 12:38:16","1758697786100","1"
"bob","Russia","2025-09-24 12:30:06","1758697786100","1"
"charlie","Delhi","2025-09-24 12:34:12","1758697786100","1"
"alice","Russia","2025-09-24 12:27:03","1758697786100","1"
"dave","Russia","2025-09-24 12:38:30","1758697786100","1"
"bob","Mumbai","2025-09-24 12:37:58","1758697786100","1"
"charlie","USA","2025-09-24 12:38:48","1758697786100","1"
"bob","Russia","2025-09-24 12:26:55","1758697786100","1"
"alice","Mumbai","2025-09-24 12:34:22","1758697786100","1"
"dave","Delhi","2025-09-24 12:38:06","1758697786100","1"
"bob","Delhi","2025-09-24 12:38:42","1758697786100","1"
"charlie","Mumbai","2025-09-24 12:33:58","1758697786100","1"
"dave","Delhi","2025-09-24 12:40:04","1758697804096","1"
"alice","Delhi","2025-09-24 12:40:08","1758697808596","1"
"bob","Delhi","2025-09-24 12:40:16","1758697816096","1"
"alice","Delhi","2025-09-24 12:40:18","1758697819096","1"
"dave","Delhi","2025-09-24 12:40:20","1758697820596","1"
"bob","Mumbai","2025-09-24 12:40:24","1758697825096","1"
"charlie","Russia","2025-09-24 12:40:26","1758697826596","1"
"bob","Russia","2025-09-24 12:40:34","1758697834096","1"
"charlie","Mumbai","2025-09-24 12:40:44","1758697844596","1"
"charlie","Delhi","2025-09-24 12:40:46","1758697846096","1"
