"user_id","location1","timestamp1","location2","timestamp2","distance_km","time_diff_seconds","time","diff"
"alice","Mumbai","2025-09-24 22:16:45","Russia","2025-09-24 22:20:09","5025.990407622382","204","1758906050178","1"
"charlie","Russia","2025-09-24 22:16:27","USA","2025-09-24 22:20:13","7841.882497512454","226","1758906050178","1"
"dave","Delhi","2025-09-24 15:09:25","Russia","2025-09-24 15:10:05","4331.99665599462","40","1758906050178","1"
"bob","Mumbai","2025-09-24 22:16:23","USA","2025-09-24 22:22:19","12865.792399535847","356","1758906050178","1"
"bob","USA","2025-09-24 22:18:39","Delhi","2025-09-24 22:18:49","12054.874983757929","10","1758906050178","1"
"alice","USA","2025-09-24 12:38:08","Russia","2025-09-24 12:38:18","7841.882497512454","10","1758906050178","1"
"dave","Russia","2025-09-24 12:34:00","USA","2025-09-24 12:34:02","7841.882497512454","2","1758906050178","1"
"bob","USA","2025-09-24 12:27:13","Delhi","2025-09-24 12:30:20","12054.874983757929","187","1758906050178","1"
"bob","USA","2025-09-24 22:18:15","Mumbai","2025-09-24 22:19:53","12865.792399535847","98","1758906050178","1"
"bob","Mumbai","2025-09-24 12:34:04","Russia","2025-09-24 12:38:46","5025.990407622382","282","1758906050178","1"
"bob","Russia","2025-09-24 22:20:19","Delhi","2025-09-24 22:20:23","4331.99665599462","4","1758906050178","1"
"dave","Russia","2025-09-24 22:17:47","Mumbai","2025-09-24 22:17:51","5025.990407622382","4","1758906050178","1"
"bob","Russia","2025-09-24 22:17:13","Delhi","2025-09-24 22:18:49","4331.99665599462","96","1758906050178","1"
"bob","Delhi","2025-09-24 12:34:24","USA","2025-09-24 12:39:16","12054.874983757929","292","1758906050178","1"
"dave","Mumbai","2025-09-24 22:18:47","Russia","2025-09-24 22:20:15","5025.990407622382","88","1758906050178","1"
"alice","Russia","2025-09-24 22:15:55","USA","2025-09-24 22:19:05","7841.882497512454","190","1758906050178","1"
"dave","Mumbai","2025-09-24 12:39:14","USA","2025-09-24 13:10:38","12865.792399535847","1884","1758906050178","1"
"dave","Russia","2025-09-24 15:07:19","USA","2025-09-24 15:09:47","7841.882497512454","148","1758906050178","1"
"bob","USA","2025-09-24 22:18:27","Delhi","2025-09-24 22:20:23","12054.874983757929","116","1758906050178","1"
