"user_id","location","timestamp","login_success","time","diff"
"bob","Russia","2025-09-24 15:10:11","0","1758732358906","1"
"bob","Russia","2025-09-24 15:08:01","0","1758732358906","1"
"dave","USA","2025-09-24 12:27:01","0","1758732358906","1"
"alice","USA","2025-09-24 12:27:55","0","1758732358906","1"
"alice","Russia","2025-09-24 12:40:12","1","1758732358906","1"
"charlie","USA","2025-09-24 15:10:01","0","1758732358906","1"
"alice","Russia","2025-09-24 13:10:20","1","1758732358906","1"
"alice","USA","2025-09-24 15:10:03","1","1758732358906","1"
"dave","Russia","2025-09-24 12:26:57","0","1758732358906","1"
"alice","Russia","2025-09-24 12:38:18","1","1758732358906","1"
"alice","Russia","2025-09-24 12:38:34","0","1758732358906","1"
"dave","USA","2025-09-24 15:07:21","1","1758732358906","1"
"dave","USA","2025-09-24 12:34:28","0","1758732358906","1"
"dave","USA","2025-09-24 15:08:25","1","1758732358906","1"
"alice","Russia","2025-09-24 22:15:55","0","1758732358906","1"
"dave","USA","2025-09-24 13:10:38","1","1758732358906","1"
"bob","Russia","2025-09-24 15:09:01","0","1758732358906","1"
"charlie","Russia","2025-09-24 15:09:37","0","1758732358906","1"
"charlie","Russia","2025-09-24 12:40:26","0","1758732358906","1"
"charlie","USA","2025-09-24 12:27:51","0","1758732358906","1"
"charlie","USA","2025-09-24 15:07:13","1","1758732358906","1"
"bob","Russia","2025-09-24 12:38:14","0","1758732358906","1"
"alice","USA","2025-09-24 13:10:28","1","1758732358906","1"
"dave","USA","2025-09-24 12:27:11","1","1758732358906","1"
"charlie","Russia","2025-09-24 12:38:02","1","1758732358906","1"
"dave","USA","2025-09-24 15:08:09","1","1758732358906","1"
"bob","Russia","2025-09-24 12:39:02","1","1758732358906","1"
"bob","Russia","2025-09-24 15:08:19","1","1758732358906","1"
"charlie","USA","2025-09-24 12:40:48","0","1758732358906","1"
"alice","USA","2025-09-24 12:34:26","1","1758732358906","1"
"bob","USA","2025-09-24 15:08:23","0","1758732358906","1"
"bob","Russia","2025-09-24 15:08:13","1","1758732358906","1"
"charlie","Russia","2025-09-24 15:07:03","1","1758732358906","1"
"alice","Russia","2025-09-24 15:07:49","1","1758732358906","1"
"bob","USA","2025-09-24 12:38:32","0","1758732358906","1"
"dave","Russia","2025-09-24 12:27:43","0","1758732358906","1"
"alice","USA","2025-09-24 12:38:44","1","1758732358906","1"
"alice","USA","2025-09-24 12:38:00","0","1758732358906","1"
"dave","Russia","2025-09-24 12:40:42","1","1758732358906","1"
"dave","Russia","2025-09-24 15:08:31","1","1758732358906","1"
"dave","Russia","2025-09-24 15:10:05","0","1758732358906","1"
"alice","USA","2025-09-24 12:38:08","0","1758732358906","1"
"bob","Russia","2025-09-24 13:09:56","0","1758732358906","1"
"alice","USA","2025-09-24 15:09:07","0","1758732358906","1"
"bob","Russia","2025-09-24 12:38:52","1","1758732358906","1"
"bob","USA","2025-09-24 12:27:05","1","1758732358906","1"
"dave","USA","2025-09-24 15:08:03","1","1758732358906","1"
"dave","USA","2025-09-24 12:38:12","1","1758732358906","1"
"alice","Russia","2025-09-24 12:38:04","1","1758732358906","1"
"dave","USA","2025-09-24 15:09:47","1","1758732358906","1"
"dave","USA","2025-09-24 15:08:43","1","1758732358906","1"
"dave","USA","2025-09-24 12:40:14","1","1758732358906","1"
"dave","Russia","2025-09-24 15:07:45","1","1758732358906","1"
"bob","Russia","2025-09-24 12:30:30","1","1758732358906","1"
"dave","Russia","2025-09-24 15:07:19","1","1758732358906","1"
"charlie","Russia","2025-09-24 12:27:53","0","1758732358906","1"
"alice","Russia","2025-09-24 15:08:21","0","1758732358906","1"
"charlie","Russia","2025-09-24 15:08:51","0","1758732358906","1"
"bob","USA","2025-09-24 12:30:24","1","1758732358906","1"
"charlie","Russia","2025-09-24 15:09:35","1","1758732358906","1"
"charlie","Russia","2025-09-24 12:27:59","1","1758732358906","1"
"bob","USA","2025-09-24 12:39:16","0","1758732358906","1"
"alice","Russia","2025-09-24 13:10:10","0","1758732358906","1"
"charlie","Russia","2025-09-24 15:08:07","1","1758732358906","1"
"bob","Russia","2025-09-24 12:39:10","1","1758732358906","1"
"charlie","USA","2025-09-24 13:10:02","1","1758732358906","1"
"dave","USA","2025-09-24 12:34:02","0","1758732358906","1"
"charlie","Russia","2025-09-24 12:34:10","1","1758732358906","1"
"bob","USA","2025-09-24 12:40:22","1","1758732358906","1"
"bob","Russia","2025-09-24 15:09:17","1","1758732358906","1"
"dave","Russia","2025-09-24 12:30:28","1","1758732358906","1"
"bob","USA","2025-09-24 12:38:16","0","1758732358906","1"
"bob","Russia","2025-09-24 12:30:06","0","1758732358906","1"
"dave","Russia","2025-09-24 12:38:50","1","1758732358906","1"
"charlie","USA","2025-09-24 12:34:16","1","1758732358906","1"
"charlie","Russia","2025-09-24 15:09:41","1","1758732358906","1"
"dave","USA","2025-09-24 15:09:59","0","1758732358906","1"
"bob","Russia","2025-09-24 15:09:33","1","1758732358906","1"
"charlie","Russia","2025-09-24 12:30:14","1","1758732358906","1"
"bob","USA","2025-09-24 12:34:08","1","1758732358906","1"
"charlie","USA","2025-09-24 15:08:17","0","1758732358906","1"
"alice","Russia","2025-09-24 12:27:03","0","1758732358906","1"
"dave","Russia","2025-09-24 12:38:30","0","1758732358906","1"
"dave","USA","2025-09-24 15:10:07","1","1758732358906","1"
"bob","USA","2025-09-24 15:09:39","0","1758732358906","1"
"bob","USA","2025-09-24 12:34:20","1","1758732358906","1"
"bob","Russia","2025-09-24 15:09:03","0","1758732358906","1"
"bob","Russia","2025-09-24 12:40:34","0","1758732358906","1"
"bob","Russia","2025-09-24 15:07:17","0","1758732358906","1"
"dave","Russia","2025-09-24 12:27:47","1","1758732358906","1"
"alice","USA","2025-09-24 15:09:13","1","1758732358906","1"
"bob","USA","2025-09-24 15:08:53","1","1758732358906","1"
"dave","Russia","2025-09-24 15:09:45","0","1758732358906","1"
"dave","USA","2025-09-24 12:30:12","1","1758732358906","1"
"dave","Russia","2025-09-24 13:10:36","0","1758732358906","1"
"charlie","USA","2025-09-24 12:38:48","0","1758732358906","1"
"bob","Russia","2025-09-24 12:26:55","0","1758732358906","1"
"charlie","Russia","2025-09-24 15:08:11","1","1758732358906","1"
"dave","Russia","2025-09-24 12:34:30","1","1758732358906","1"
"charlie","USA","2025-09-24 15:09:19","1","1758732358906","1"
"dave","USA","2025-09-24 15:09:21","1","1758732358906","1"
"charlie","USA","2025-09-24 15:08:29","0","1758732358906","1"
"bob","Russia","2025-09-24 13:10:22","0","1758732358906","1"
"dave","Russia","2025-09-24 15:08:05","0","1758732358906","1"
"dave","Russia","2025-09-24 12:27:39","1","1758732358906","1"
"dave","USA","2025-09-24 15:08:45","0","1758732358906","1"
"dave","USA","2025-09-24 15:07:41","1","1758732358906","1"
"dave","Russia","2025-09-24 12:40:06","1","1758732358906","1"
"charlie","Russia","2025-09-24 15:07:11","0","1758732358906","1"
"dave","USA","2025-09-24 15:08:33","0","1758732358906","1"
"charlie","Russia","2025-09-24 12:27:45","1","1758732358906","1"
"alice","Russia","2025-09-24 12:38:20","1","1758732358906","1"
"bob","Russia","2025-09-24 13:10:34","0","1758732358906","1"
"dave","Russia","2025-09-24 12:34:00","1","1758732358906","1"
"bob","Russia","2025-09-24 12:38:46","1","1758732358906","1"
"dave","USA","2025-09-24 15:07:23","0","1758732358906","1"
"bob","USA","2025-09-24 12:27:13","1","1758732358906","1"
"alice","USA","2025-09-24 15:07:55","0","1758732358906","1"
"bob","USA","2025-09-24 13:10:08","1","1758732358906","1"
"bob","USA","2025-09-24 15:08:39","1","1758732358906","1"
"bob","USA","2025-09-24 12:34:06","1","1758732358906","1"
"bob","Russia","2025-09-24 13:09:58","1","1758732358906","1"
"alice","USA","2025-09-24 22:16:03","1","1758732363402","1"
"dave","USA","2025-09-24 22:16:05","1","1758732364902","1"
"dave","Russia","2025-09-24 22:16:09","0","1758732369402","1"
"alice","Russia","2025-09-24 22:16:11","0","1758732370902","1"
"alice","USA","2025-09-24 22:16:15","0","1758732375402","1"
"dave","Russia","2025-09-24 22:16:17","1","1758732376902","1"
"bob","Russia","2025-09-24 22:16:25","1","1758732384402","1"
"charlie","Russia","2025-09-24 22:16:27","1","1758732387402","1"
"charlie","Russia","2025-09-24 22:16:31","1","1758732390402","1"
"dave","Russia","2025-09-24 22:16:35","1","1758732394902","1"
"charlie","USA","2025-09-24 22:16:41","0","1758732400902","1"
"alice","Russia","2025-09-24 22:16:51","0","1758732411402","1"
"charlie","USA","2025-09-24 22:16:57","0","1758732417402","1"
"bob","USA","2025-09-24 22:17:05","1","1758732424902","1"
"charlie","USA","2025-09-24 22:17:07","0","1758732426402","1"
"charlie","USA","2025-09-24 22:17:09","1","1758732429402","1"
"bob","Russia","2025-09-24 22:17:13","0","1758732432402","1"
"bob","Russia","2025-09-24 22:17:25","1","1758732444402","1"
"alice","Russia","2025-09-24 22:17:29","1","1758732448902","1"
"bob","Russia","2025-09-24 22:17:33","0","1758732453402","1"
"dave","USA","2025-09-24 22:17:35","0","1758732454902","1"
"alice","Russia","2025-09-24 22:17:41","0","1758732460902","1"
"dave","Russia","2025-09-24 22:17:45","1","1758732463902","1"
"dave","Russia","2025-09-24 22:17:47","1","1758732466902","1"
"alice","Russia","2025-09-24 22:17:49","0","1758732468402","1"
"alice","USA","2025-09-24 22:17:53","1","1758732472902","1"
"charlie","USA","2025-09-24 22:17:55","1","1758732474402","1"
"alice","USA","2025-09-24 22:18:01","0","1758732480402","1"
"charlie","USA","2025-09-24 22:18:05","0","1758732484902","1"
"charlie","USA","2025-09-24 22:18:07","1","1758732486402","1"
"bob","USA","2025-09-24 22:18:15","1","1758732493902","1"
"charlie","Russia","2025-09-24 22:18:19","0","1758732498402","1"
"charlie","Russia","2025-09-24 22:18:21","1","1758732499902","1"
"alice","USA","2025-09-24 22:18:23","1","1758732502902","1"
"bob","USA","2025-09-24 22:18:27","1","1758732505902","1"
"bob","USA","2025-09-24 22:18:29","1","1758732508902","1"
"dave","Russia","2025-09-24 22:18:31","1","1758732510402","1"
"alice","Russia","2025-09-24 22:18:35","1","1758732514902","1"
"bob","USA","2025-09-24 22:18:39","1","1758732517902","1"
"charlie","USA","2025-09-24 22:18:45","1","1758732523902","1"
"alice","USA","2025-09-24 22:18:51","0","1758732529902","1"
"alice","Russia","2025-09-24 22:18:53","1","1758732532902","1"
"charlie","Russia","2025-09-24 22:18:57","0","1758732535902","1"
"alice","USA","2025-09-24 22:18:59","0","1758732538902","1"
"alice","USA","2025-09-24 22:19:05","0","1758732544902","1"
"bob","Russia","2025-09-24 22:19:07","0","1758732546402","1"
"dave","USA","2025-09-24 22:19:13","0","1758732552402","1"
"bob","USA","2025-09-24 22:19:17","1","1758732556902","1"
"dave","USA","2025-09-24 22:19:19","0","1758732558402","1"
"bob","Russia","2025-09-24 22:19:25","1","1758732564402","1"
"bob","USA","2025-09-24 22:19:27","0","1758732565902","1"
"dave","USA","2025-09-24 22:19:29","1","1758732568902","1"
"bob","Russia","2025-09-24 22:19:31","1","1758732570402","1"
"dave","Russia","2025-09-24 22:19:39","0","1758732577902","1"
"charlie","USA","2025-09-24 22:19:55","0","1758732594402","1"
"charlie","Russia","2025-09-24 22:20:01","0","1758732600402","1"
"charlie","Russia","2025-09-24 22:20:03","1","1758732601902","1"
"dave","USA","2025-09-24 22:20:05","0","1758732604902","1"
"alice","Russia","2025-09-24 22:20:07","0","1758732606402","1"
"alice","Russia","2025-09-24 22:20:09","0","1758732607902","1"
"charlie","USA","2025-09-24 22:20:13","0","1758732612402","1"
"dave","Russia","2025-09-24 22:20:15","1","1758732613902","1"
"bob","USA","2025-09-24 22:20:17","1","1758732616902","1"
"bob","Russia","2025-09-24 22:20:19","1","1758732618402","1"
"charlie","Russia","2025-09-24 22:20:31","0","1758732630402","1"
"dave","USA","2025-09-24 22:20:35","1","1758732634902","1"
"charlie","Russia","2025-09-24 22:20:37","0","1758732636402","1"
"dave","Russia","2025-09-24 22:20:39","0","1758732637902","1"
"dave","USA","2025-09-24 22:20:43","1","1758732642402","1"
"charlie","Russia","2025-09-24 22:20:45","0","1758732643902","1"
"dave","USA","2025-09-24 22:20:47","0","1758732646902","1"
"bob","USA","2025-09-24 22:20:49","0","1758732648402","1"
"dave","Russia","2025-09-24 22:20:51","0","1758732649902","1"
"charlie","USA","2025-09-24 22:20:53","1","1758732652902","1"
"bob","USA","2025-09-24 22:20:55","1","1758732654402","1"
"dave","Russia","2025-09-24 22:20:59","0","1758732658902","1"
"dave","Russia","2025-09-24 22:21:01","1","1758732660402","1"
"charlie","USA","2025-09-24 22:21:03","1","1758732663402","1"
